price,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date
155000,3,1,0.5,New York,12594,1100,29017
550000,3,1,5.36,New York,12567,8044,
3779000,3,4,16.69,New York,12514,3721,37599
895000,3,3,5,New York,12521,2517,42885
2495000,3,4,26,New York,12501,3790,34478
134950,3,2,0.48,New York,12513,2668,39252
687000,3,3,2.2,New York,12502,3023,
2150000,3,3,108.49,New York,12523,3788,37004
175000,3,2,,New York,12522,1232,
299900,3,2,0.38,New York,12594,1680,38971
785000,3,3,0.68,New York,12545,1872,43321
692000,3,3,6.3,New York,12571,3000,36438
375000,3,2,3.2,New York,12514,1284,33640
549000,3,2,5.05,New York,12514,1568,36823
1140000,3,4,4.79,New York,12567,2790,36831
320000,3,1,0.34,New York,12567,1197,43353
1950000,3,3,11.9,New York,12571,2134,43179
940000,3,3,24.5,New York,12567,2000,
940000,3,3,24.5,New York,12567,2000,
399900,3,2,0.47,New York,12594,1564,36908
759900,3,3,12.82,New York,12581,3000,37132
349500,3,2,0.47,New York,12567,1788,41967
549000,3,3,3,New York,12502,2288,
239000,3,1,0.49,New York,12522,1260,43375
340000,3,2,1.01,New York,12501,2048,
338000,3,2,3.44,New York,12523,1562,
338000,3,2,3.44,New York,12567,1562,
399000,3,3,2.9,New York,12581,1848,
435000,3,3,3.3,New York,12522,1956,36132
1085000,3,4,11.71,New York,12521,3200,
595000,3,2,1.8,New York,12501,2194,40904
279000,3,2,0.14,New York,12501,1834,43756
329000,3,2,0.52,New York,12513,1926,43500
375000,3,3,1.57,New York,12522,1500,37267
1425000,3,3,35.29,New York,12578,3188,32930
2880000,3,4,22.59,New York,12567,3072,39036
2395000,3,2,0.58,New York,11954,1500,44275
2399000,3,2,0.27,New York,11954,1742,
2400000,3,2,,New York,11954,,
1699000,3,2,0.21,New York,11954,1408,41758
1925000,3,2,0.17,New York,11954,,44257
925000,3,2,0.34,New York,11954,,
1495000,3,4,0.67,New York,11954,1928,35662
1450000,3,4,0.55,New York,6390,2650,41494
1950000,3,3,0.17,New York,11954,1850,
2490000,3,3,0.25,New York,11954,1423,34236
1718000,3,2,0.41,New York,11954,1900,
105000,3,2,4.22,New York,12837,1352,43452
205000,3,2,0.14,New York,12816,,41725
719900,3,3,9.3,New York,12873,3034,40568
159999,3,2,2,New York,12834,2300,36831
129000,3,2,1,New York,12094,1248,40465
305000,3,2,1.7,New York,12834,1920,
1200000,3,3,31.68,New York,12185,5200,39554
319000,3,2,0.74,New York,12816,1582,
299000,3,2,5,New York,12834,2800,
289900,3,2,0.41,New York,14534,3480,
188500,3,1,0.33,New York,12185,1230,41386
189900,3,2,0.66,New York,12185,2236,43725
244900,3,1,1.13,New York,12185,1006,44469
99000,3,2,0.3,New York,12865,1872,
189900,3,1,1.2,New York,12816,1275,
244900,3,1,1.13,New York,12185,1006,
279000,3,1,6.2,New York,12816,1524,
430000,3,3,2.9,New York,12154,2244,41654
190000,3,2,,New York,12816,,
172900,3,2,2.08,New York,12837,1702,42024
289900,3,2,2.3,New York,12834,1620,
56000,3,2,0.15,New York,12887,1392,
254999,3,2,1.03,New York,12821,1104,
325000,3,1,10,New York,12827,1820,39349
189900,3,1,0.48,New York,12819,2112,
350000,3,2,5.25,New York,12816,3172,
220000,3,2,6.36,New York,12809,1836,
268000,3,1,2.3,New York,12809,1556,41821
148900,3,3,35,New York,12887,1872,
159000,3,1,0.32,New York,12865,1440,
31500,3,1,0.12,New York,12832,1302,38804
189000,3,2,6.3,New York,12816,1350,43637
149000,3,2,3.2,New York,12865,1792,40232
219900,3,2,0.92,New York,12832,1612,43349
164900,3,1,1.05,New York,12832,1376,43461
99000,3,1,2.6,New York,12837,1440,39470
29950,3,1,2,New York,12832,1396,39644
149900,3,2,25.53,New York,12832,3584,36493
155000,3,1,2.5,New York,12827,1708,
259000,3,2,5,New York,12839,1716,38814
154900,3,2,0.28,New York,12834,1400,
47000,3,2,0.23,New York,12887,2163,
149000,3,2,7.85,New York,12832,1344,37648
184999,3,1,1.6,New York,12832,1218,36209
350000,3,3,2.41,New York,12837,2588,42514
24900,3,2,1.1,New York,12887,2352,38881
209900,3,1,3.2,New York,12827,1120,44153
125000,3,1,0.27,New York,12832,2364,
425000,3,3,42.17,New York,12832,4160,
179999,3,2,0.25,New York,12887,1842,38406
149900,3,1,0.39,New York,12887,1411,44267
272900,3,2,5.1,New York,12887,1729,
375000,3,2,30.35,New York,12819,2004,
575900,3,3,3.61,New York,12834,1371,
210000,3,3,12.03,New York,12809,2584,38817
349000,3,2,27.43,New York,12887,1452,
400000,3,2,10.2,New York,12834,1700,37679
279900,3,2,10.21,New York,12887,1508,43088
550000,3,3,25.01,New York,12809,2300,
175000,3,1,0.17,New York,12834,1256,43251
289900,3,2,6.4,New York,12832,2200,42949
329000,3,2,3.68,New York,12839,2016,43026
70000,3,1,0.33,New York,12887,1250,36390
449500,3,2,15.59,New York,12887,1808,
170000,3,2,0.73,New York,12838,2420,34635
119900,3,2,0.46,New York,12827,2132,36264
324000,3,3,1,New York,12809,2043,35492
37500,3,2,0.65,New York,12827,1300,
49900,3,1,0.15,New York,12827,1080,39853
240000,3,2,1,New York,12816,1544,35598
75000,3,1,0.11,New York,12887,1410,40394
139000,3,2,16.57,New York,12832,2172,37497
319000,3,1,1.13,New York,12996,972,
265000,3,2,0.52,New York,12972,1663,
385000,3,2,8.38,New York,12944,2002,41726
263000,3,2,1.6,New York,12944,1960,43521
795000,3,2,0.6,New York,12996,1363,41620
154900,3,1,2,New York,12944,1368,
259900,3,2,0.6,New York,12944,2528,38231
279900,3,2,0.27,New York,12901,1975,
99800,3,2,0.1,New York,12901,1862,36573
289000,3,2,9.6,New York,12993,1440,
59000,3,1,0.4,New York,12960,1425,
50000,3,1,0.2,New York,12996,1312,
150000,3,2,1.65,New York,12996,1188,38974
159900,3,2,0.44,New York,12944,1517,41892
279000,3,1,4,New York,12950,2083,
79900,3,2,0.2,New York,12956,1443,36924
229000,3,2,0.67,New York,12944,1100,
179900,3,2,0.6,New York,12944,1754,43398
375000,3,3,2.8,New York,12960,2000,
238500,3,2,1,New York,12972,2485,43838
175000,3,1,0.36,New York,12944,925,
299000,3,2,11.6,New York,12993,1664,40023
275000,3,3,0.1,New York,12993,1858,40760
459900,3,1,381,New York,12993,2000,
99000,3,2,0.4,New York,12960,1550,
325000,3,2,12.23,New York,12993,2051,40735
215000,3,2,1,New York,12993,1183,
124900,3,1,0.3,New York,12944,1398,
169000,3,1,0.7,New York,12993,889,
219000,3,3,3.2,New York,12936,2160,44328
489900,3,3,3.22,New York,12993,3867,
224900,3,2,0.16,New York,12901,1539,44391
189000,3,3,3.7,New York,12962,1848,
159900,3,1,1.2,New York,12901,2814,
360000,3,2,3.2,New York,12996,3200,
439900,3,3,1.75,New York,12972,2542,36838
478900,3,3,42,New York,12996,1800,38645
179900,3,2,0.38,New York,12901,1752,42961
849000,3,3,15.17,New York,12944,2659,
375000,3,3,1.13,New York,12901,2500,
144900,3,2,1.8,New York,12901,1248,
127000,3,2,3.2,New York,12962,1532,
165000,3,2,1.5,New York,12962,1342,34955
255000,3,3,0.92,New York,12972,1547,43700
195000,3,2,0.12,New York,12901,1432,44482
149900,3,3,0.01,New York,12903,1409,38847
249900,3,2,0.01,New York,12903,1450,43889
314500,3,2,0.52,New York,12901,1548,
49900,3,2,1.7,New York,12962,1458,
149000,3,2,0.56,New York,12985,1224,39636
159900,3,2,0.92,New York,12962,1188,
139900,3,2,0.08,New York,12901,1408,41542
327000,3,2,0.2,New York,12903,2026,
165900,3,1,0.5,New York,12962,1178,
325000,3,2,0.19,New York,12903,1919,40771
184900,3,1,0.67,New York,12901,1152,37901
169900,3,3,0.77,New York,12901,1904,42598
199900,3,3,0.01,New York,12901,1466,
135000,3,3,0.01,New York,12901,1409,
145995,3,2,1,New York,12962,1532,41792
325000,3,4,0.78,New York,12901,3176,
319500,3,3,1.39,New York,12972,1936,
229995,3,2,0.26,New York,12972,1752,43280
254900,3,2,0.46,New York,12901,1746,
175000,3,2,0.24,New York,12901,1422,43397
145000,3,2,3,New York,12901,2918,44132
169900,3,2,0.98,New York,12921,1662,43041
289900,3,3,1.27,New York,12901,2500,40163
169000,3,2,0.64,New York,12996,1607,
99000,3,1,0.39,New York,12901,1380,
215000,3,2,0.52,New York,12901,1547,43297
500000,3,2,17.06,New York,12901,1636,39343
98000,3,2,0.3,New York,12974,1359,44384
675000,3,2,0.34,New York,12928,1470,
90000,3,1,0.34,New York,12901,925,43425
89000,3,2,0.2,New York,12901,1432,
235000,3,3,0.01,New York,12901,1995,44132
269900,3,1,0.77,New York,12921,1540,
59000,3,1,0.4,New York,12998,1425,40963
29900,3,2,0.9,New York,12956,1216,
95000,3,2,0.1,New York,12974,1311,43388
70000,3,2,0.2,New York,12956,1296,
115000,3,1,0.2,New York,12956,1464,
124900,3,2,0.6,New York,12974,1872,42692
390000,3,3,2,New York,12974,1500,
199900,3,3,0.43,New York,12960,1944,
125000,3,1,1.2,New York,12960,1116,39160
134900,3,2,0.2,New York,12956,1574,
165000,3,2,1,New York,12960,1248,42572
858500,3,3,0.3,New York,12883,2072,43627
89900,3,1,0.3,New York,12883,1331,43641
119900,3,1,0.5,New York,12883,1314,43740
159900,3,1,14.7,New York,12883,1368,
199000,3,2,0.3,New York,12883,1901,43473
20000,3,1,0.4,New York,12883,1584,40996
925000,3,2,0.62,New York,12883,1600,
135000,3,2,0.3,New York,12928,1040,39072
169900,3,2,0.3,New York,12883,1620,37084
59900,3,1,0.4,New York,12883,1776,37295
529000,3,2,1.12,New York,12928,1638,
685000,3,1,0.3,New York,12928,1111,
119000,3,2,0.2,New York,12883,1404,38253
49000,3,1,0.18,New York,12928,1436,37853
249900,3,3,1,New York,12901,2750,
339000,3,3,1.13,New York,12901,2500,
389000,3,3,1.13,New York,12901,2500,
319000,3,3,1.13,New York,12901,2500,44376
69900,3,1,0.35,New York,12992,720,38265
210000,3,2,1.2,New York,12901,2597,
215000,3,2,0.5,New York,12901,1964,40109
99000,3,1,0.08,New York,12921,1381,44238
380000,3,2,12.64,New York,12921,1968,
39900,3,2,0.36,New York,12883,1603,
949000,3,3,68.87,New York,12883,2550,
139900,3,3,,New York,12883,1759,
165000,3,2,0.2,New York,12883,1512,44221
250000,3,2,4.79,New York,12992,1956,43642
159999,3,2,0.75,New York,12901,1296,38938
315000,3,2,0.75,New York,12901,1465,43629
